subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
SC, encoding,1,1,0,1,0, strawberry,15,2,5, ,0,0,4.206006, walk,0, NO,2,0, NO,2,0,0,0,34.243644,39.424218,42.876352,47.08874, , , , , , , , , 
SC, encoding,1,2,0,2,0, starfish02,15,2,4, ,0,0,2.854196, squeeze,0, NO,2,0, NO,2,0,0,0,34.243644,48.474442,51.300049,54.159768, , , , , , , , , 
SC, encoding,1,3,0,3,0, tomato,16,2,7, ,0,0,2.477938, cover,0, NO,2,0, NO,2,0,0,0,34.243644,55.698724,58.604186,61.087429, , , , , , , , , 
SC, encoding,1,4,0,4,0, slipper,13,2,8, ,0,0,1.248143, press,0, NO,2,0, NO,2,0,0,0,34.243644,62.136443,65.601879,66.850049, , , , , , , , , 
SC, encoding,1,5,0,5,0, remote control,14,2,6, ,0,0,1.444723, deliver,0, NO,2,0, NO,2,0,0,0,34.243644,68.774029,71.533105,72.977903, , , , , , , , , 
SC, encoding,1,6,0,6,0, worm,16,2,1, ,0,0,1.540009, circle,0, NO,2,0, NO,2,0,0,0,34.243644,74.53215,77.397824,78.93786, , , , , , , , , 
SC, encoding,1,7,0,7,0, ladybug,10,1,1, ,0,0,1.672449, fade,0, NO,2,0, NO,2,0,0,0,34.243644,80.130247,83.24917,84.921642, , , , , , , , , 
SC, encoding,1,8,0,8,0, tie,16,1,8, ,0,0,0.736241, swing,0, NO,2,0, NO,2,0,0,0,34.243644,86.727995,90.153438,90.889731, , , , , , , , , 
SC, retrieval,1,0,1,8,1, ladybug,10,1,1, cinema,7,3,0, fade,4.032124, perceptual,1,2.178815, semantic_animated,1,1.864909,29,0.965517, , , , ,143.311866,154.94453,158.982906,162.741762,164.926907,165.487598,167.35867,1, 
SC, retrieval,1,0,2,8,2, starfish02,15,2,4, town_riff,28,2,0, squeeze,2.508764, semantic_animated,1,1.542749, perceptual,1,0.842186,29,0.965517, , , , ,143.311866,168.85973,171.373995,174.897652,176.4459,176.990187,177.83795,1, 
SC, retrieval,1,0,3,8,3, tomato,16,2,7, bedroom_girly,5,4,0, cover,2.482723, perceptual,1,1.559321, semantic_animated,1,0.773355,29,0.965517, , , , ,143.311866,178.909608,181.397595,184.920876,186.485498,187.026816,187.805519,1, 
SC, retrieval,1,0,4,8,4, strawberry,15,2,5, granada,12,2,0, walk,2.979703, semantic_animated,1,1.909722, perceptual,1,0.905253,29,0.965517, , , , ,143.311866,189.492554,192.477435,196.010309,197.925401,198.462787,199.373355,1, 
SC, retrieval,1,0,5,8,5, slipper,13,2,8, church,6,3,0, press,2.188676, perceptual,1,1.990635, semantic_animated,1,0.586091,29,0.965517, , , , ,143.311866,200.955276,203.149261,206.673318,208.669188,209.205756,209.797136,1, 
SC, retrieval,1,0,6,8,6, remote control,14,2,6, waterfall,31,1,0, deliver,2.239954, perceptual,3,3.372583, semantic_animated,3,4.23766,29,0.965517, , , , ,143.311866,210.871944,213.117421,216.643216,220.021042,220.561956,224.804943,1, 
SC, retrieval,1,0,7,8,7, tie,16,1,8, dif_river,9,1,0, swing,3.077032, perceptual,1,0.817937, semantic_animated,1,0.690288,29,0.965517, , , , ,143.311866,226.506576,229.588841,233.117547,233.940868,234.477178,235.172754,1, 
SC, retrieval,1,0,8,8,8, worm,16,2,1, uni_londo,29,2,0, circle,3.42156, perceptual,1,2.351942, semantic_animated,1,0.547501,29,0.965517, , , , ,143.311866,236.44982,239.876701,243.407348,245.764599,246.299772,246.852568,1, 
SC, encoding,2,1,0,9,8, lettuce,10,1,7, ,0,0,3.822379, add,0, NO,2,0, NO,2,0,0,0,251.692882,317.582039,320.127718,323.955708, , , , , , , , , 
SC, encoding,2,2,0,10,8, mosquito,12,2,1, ,0,0,3.376885, fold,0, NO,2,0, NO,2,0,0,0,251.692882,325.192646,327.845086,331.22741, , , , , , , , , 
SC, encoding,2,3,0,11,8, swordfish,16,2,4, ,0,0,5.416996, fit,0, NO,2,0, NO,2,0,0,0,251.692882,332.496818,335.988937,341.411182, , , , , , , , , 
SC, encoding,2,4,0,12,8, wolf,16,2,3, ,0,0,0.980095, connect,0, NO,2,0, NO,2,0,0,0,251.692882,342.813307,345.625625,346.605748, , , , , , , , , 
SC, encoding,2,5,0,13,8, pomegranate,14,1,5, ,0,0,2.083487, split,0, NO,2,0, NO,2,0,0,0,251.692882,349.091107,351.770175,353.858971, , , , , , , , , 
SC, encoding,2,6,0,14,8, blowfish,1,1,4, ,0,0,3.015901, guide,0, NO,2,0, NO,2,0,0,0,251.692882,354.515939,357.141662,360.16287, , , , , , , , , 
SC, encoding,2,7,0,15,8, jellyfish,5,1,4, ,0,0,1.999992, deposit,0, NO,2,0, NO,2,0,0,0,251.692882,361.366821,364.619098,366.619113, , , , , , , , , 
SC, encoding,2,8,0,16,8, gloves,6,2,8, ,0,0,2.000034, jam,0, NO,2,0, NO,2,0,0,0,251.692882,368.164558,371.12352,373.123578, , , , , , , , , 
SC, retrieval,2,0,1,16,9, jellyfish,5,1,4, library,20,3,0, deposit,2.231093, perceptual,1,1.336987, semantic_animated,1,0.849629,32,0.96875, , , , ,422.520384,427.837385,430.073787,433.595395,434.937702,435.474745,436.329681,1, 
SC, retrieval,2,0,2,16,10, mosquito,12,2,1, desert_landscape,8,1,0, fold,1.26643, perceptual,1,0.78, semantic_animated,1,0.692453,32,0.96875, , , , ,422.520384,437.913917,439.185622,442.712263,443.497569,444.031845,444.729567,1, 
SC, retrieval,2,0,3,16,11, gloves,6,2,8, retro_living,29,4,0, jam,1.701171, perceptual,1,2.390912, semantic_animated,1,1.306471,32,0.96875, , , , ,422.520384,446.151096,447.857494,451.38918,453.785411,454.321601,455.633383,1, 
SC, retrieval,2,0,4,16,12, swordfish,16,2,4, operating_room,22,3,0, fit,2.629964, perceptual,1,1.184105, semantic_animated,1,1.891191,32,0.96875, , , , ,422.520384,456.814086,459.449352,462.971836,464.161228,464.704707,466.601204,1, 
SC, retrieval,2,0,5,16,13, pomegranate,14,1,5, houses,13,2,0, split,1.855067, perceptual,1,0.982172, semantic_animated,1,1.041315,32,0.96875, , , , ,422.520384,468.276775,470.13716,473.661645,474.649082,475.194431,476.24105,1, 
SC, retrieval,2,0,6,16,14, blowfish,1,1,4, kid_bedroom,19,4,0, guide,2.572775, semantic_animated,1,1.100252, perceptual,1,0.652705,32,0.96875, , , , ,422.520384,477.566948,480.144997,483.671453,484.776933,485.31097,485.968904,1, 
SC, retrieval,2,0,7,16,15, wolf,16,2,3, luxury_living,26,4,0, connect,1.12803, semantic_animated,1,1.294969, perceptual,1,0.543611,32,0.96875, , , , ,422.520384,487.483533,488.616866,492.148558,493.448791,493.987873,494.536791,1, 
SC, retrieval,2,0,8,16,16, lettuce,10,1,7, classroom,8,3,0, add,1.698859, perceptual,1,3.265934, semantic_animated,1,1.25383,32,0.96875, , , , ,422.520384,496.120582,497.82472,501.345375,504.616619,505.157509,506.4166,1, 
SC, encoding,3,1,0,17,16, keyboard,8,1,6, ,0,0,1.870012, throw,0, NO,2,0, NO,2,0,0,0,514.415223,518.979374,522.404863,524.274899, , , , , , , , , 
SC, encoding,3,2,0,18,16, apple,1,2,5, ,0,0,2.762755, volley,0, NO,2,0, NO,2,0,0,0,514.415223,525.603773,528.216157,530.984198, , , , , , , , , 
SC, encoding,3,3,0,19,16, couliflower,7,2,7, ,0,0,4.677224, bring,0, NO,2,0, NO,2,0,0,0,514.415223,532.588049,536.013525,540.696108, , , , , , , , , 
SC, encoding,3,4,0,20,16, octopus,8,2,4, ,0,0,5.757438, allocate,0, NO,2,0, NO,2,0,0,0,514.415223,541.811537,544.597236,550.359917, , , , , , , , , 
SC, encoding,3,5,0,21,16, duck,3,2,2, ,0,0,1.160512, splash,0, NO,2,0, NO,2,0,0,0,514.415223,551.008376,553.994007,555.154546, , , , , , , , , 
SC, encoding,3,6,0,22,16, belt,1,2,8, ,0,0,0.826446, grind,0, NO,2,0, NO,2,0,0,0,514.415223,556.819712,560.191878,561.018386, , , , , , , , , 
SC, encoding,3,7,0,23,16, flamingo,5,1,2, ,0,0,3.447026, browse,0, NO,2,0, NO,2,0,0,0,514.415223,562.857637,565.803295,569.255613, , , , , , , , , 
SC, encoding,3,8,0,24,16, lion,11,1,3, ,0,0,1.457536, harm,0, NO,2,0, NO,2,0,0,0,514.415223,570.668264,573.360691,574.818254, , , , , , , , , 
SC, retrieval,3,0,1,24,17, couliflower,7,2,7, parking_sub,24,3,0, bring,1.556075, semantic_animated,1,1.44035, perceptual,1,1.006474,31,1, , , , ,624.091161,629.741325,631.302685,634.832944,636.278614,636.818794,637.830606,1, 
SC, retrieval,3,0,2,24,18, octopus,8,2,4, canyon,4,1,0, allocate,3.828406, semantic_animated,1,1.486969, perceptual,1,0.743535,31,1, , , , ,624.091161,639.04479,642.878492,646.40216,647.894408,648.44156,649.190409,1, 
SC, retrieval,3,0,3,24,19, keyboard,8,1,6, pool_room,28,4,0, throw,2.696192, semantic_animated,1,1.159723, perceptual,0,2.813483,31,1, , , , ,624.091161,650.600842,653.302328,656.825241,657.990294,658.531439,661.350219,1, 
SC, retrieval,3,0,4,24,20, belt,1,2,8, cherry_field,5,1,0, grind,4.673808, perceptual,1,8.094935, semantic_animated,1,1.105838,31,1, , , , ,624.091161,662.983125,667.662145,671.193709,679.293996,679.83081,680.9419,1, 
SC, retrieval,3,0,5,24,21, apple,1,2,5, music_store,21,3,0, volley,2.581101, perceptual,1,4.33512, semantic_animated,1,3.144748,31,1, , , , ,624.091161,681.723472,684.309869,687.841341,692.182073,692.719671,695.869729,1, 
SC, retrieval,3,0,6,24,22, lion,11,1,3, dirty_industrial_area,10,2,0, harm,5.64206, semantic_animated,3,0.831807, perceptual,3,1.8589,31,1, , , , ,624.091161,696.998215,702.645598,706.168413,707.005509,707.541296,709.405466,1, 
SC, retrieval,3,0,7,24,23, flamingo,5,1,2, amsterdam,2,2,0, browse,2.046671, semantic_animated,1,3.269832, perceptual,1,0.937756,31,1, , , , ,624.091161,710.553449,712.605444,716.138198,719.41334,719.950233,720.893317,1, 
SC, retrieval,3,0,8,24,24, duck,3,2,2, rainforest,23,1,0, splash,2.450366, semantic_animated,1,1.393585, perceptual,1,1.159508,31,1, , , , ,624.091161,721.74963,724.205244,727.734348,729.133214,729.680344,730.845159,1, 
SC, encoding,4,1,0,25,24, mushrooms,11,2,7, ,0,0,4.152005, spread,0, NO,2,0, NO,2,0,0,0,735.965216,744.395258,747.447522,751.604869, , , , , , , , , 
SC, encoding,4,2,0,26,24, beetle,2,2,1, ,0,0,3.563063, melt,0, NO,2,0, NO,2,0,0,0,735.965216,753.258906,756.364365,759.932683, , , , , , , , , 
SC, encoding,4,3,0,27,24, melon,9,1,5, ,0,0,1.554963, multiply,0, NO,2,0, NO,2,0,0,0,735.965216,761.522597,764.868214,766.423251, , , , , , , , , 
SC, encoding,4,4,0,28,24, shrimp,14,1,4, ,0,0,2.445149, wash,0, NO,2,0, NO,2,0,0,0,735.965216,768.426987,771.186036,773.636486, , , , , , , , , 
SC, encoding,4,5,0,29,24, sheep,14,1,3, ,0,0,2.812752, detect,0, NO,2,0, NO,2,0,0,0,735.965216,774.718194,778.010353,780.828389, , , , , , , , , 
SC, encoding,4,6,0,30,24, banana,3,1,5, ,0,0,5.361583, inject,0, NO,2,0, NO,2,0,0,0,735.965216,781.729093,784.741391,790.108274, , , , , , , , , 
SC, encoding,4,7,0,31,24, pumpkin,15,1,7, ,0,0,4.223502, bump,0, NO,2,0, NO,2,0,0,0,735.965216,791.099184,794.351398,798.580105, , , , , , , , , 
SC, encoding,4,8,0,32,24, hairdryer,6,2,6, ,0,0,2.583543, scratch,0, NO,2,0, NO,2,0,0,0,735.965216,799.403014,802.775175,805.364001, , , , , , , , , 
SC, retrieval,4,0,1,32,25, banana,3,1,5, lake_,18,1,0, inject,1.582093, semantic_animated,1,0.999926, perceptual,1,0.773638,34,1, , , , ,851.386255,855.223827,856.811216,860.341967,861.3472,861.888216,862.667196,1, 
SC, retrieval,4,0,2,32,26, shrimp,14,1,4, malopolska,16,2,0, wash,3.870381, perceptual,1,1.104721, semantic_animated,1,0.963943,34,1, , , , ,851.386255,864.007414,867.883048,871.404954,872.514986,873.057709,874.026953,1, 
SC, retrieval,4,0,3,32,27, beetle,2,2,1, prison,27,3,0, melt,1.83935, semantic_animated,1,0.84388, perceptual,1,0.657595,34,1, , , , ,851.386255,875.390259,877.23491,880.761721,881.610851,882.147911,882.810819,1, 
SC, retrieval,4,0,4,32,28, hairdryer,6,2,6, chernobil,6,2,0, scratch,1.911477, semantic_animated,1,0.881246, perceptual,1,0.687233,34,1, , , , ,851.386255,883.814011,885.730764,889.252152,890.138717,890.678226,891.370753,1, 
SC, retrieval,4,0,5,32,29, mushrooms,11,2,7, nice_port,18,2,0, spread,1.117119, perceptual,1,0.921322, semantic_animated,1,0.639146,34,1, , , , ,851.386255,892.624316,893.74664,897.275952,898.202639,898.742104,899.386549,1, 
SC, retrieval,4,0,6,32,30, melon,9,1,5, greenhouse,14,3,0, multiply,3.751753, perceptual,1,0.770244, semantic_animated,1,0.858701,34,1, , , , ,851.386255,900.981449,904.738475,908.258861,909.034426,909.578387,910.442406,1, 
SC, retrieval,4,0,7,32,31, sheep,14,1,3, pharmacy,26,3,0, detect,1.491342, perceptual,1,1.2743, semantic_animated,1,0.760389,34,1, , , , ,851.386255,911.817712,913.314342,916.842666,918.122273,918.668607,919.434411,1, 
SC, retrieval,4,0,8,32,32, pumpkin,15,1,7, rome_skyline,21,2,0, bump,1.307691, semantic_animated,1,1.325335, perceptual,1,0.931173,34,1, , , , ,851.386255,920.881268,922.194201,925.719491,927.050139,927.585632,928.522179,1, 
SC, encoding,5,1,0,33,32, spider,15,1,1, ,0,0,1.21821, agitate,0, NO,2,0, NO,2,0,0,0,932.591512,938.501872,941.474232,942.692466, , , , , , , , , 
SC, encoding,5,2,0,34,32, kiwi,7,1,5, ,0,0,2.01247, twitch,0, NO,2,0, NO,2,0,0,0,932.591512,944.726416,947.432052,949.449821, , , , , , , , , 
SC, encoding,5,3,0,35,32, aubergine,3,1,7, ,0,0,1.627801, brush,0, NO,2,0, NO,2,0,0,0,932.591512,951.017479,953.936564,955.564392, , , , , , , , , 
SC, encoding,5,4,0,36,32, canary,1,2,2, ,0,0,3.141893, plant,0, NO,2,0, NO,2,0,0,0,932.591512,956.7756,960.254397,963.401562, , , , , , , , , 
SC, encoding,5,5,0,37,32, ant,1,1,1, ,0,0,2.048369, hit,0, NO,2,0, NO,2,0,0,0,932.591512,964.399639,967.771813,969.825523, , , , , , , , , 
SC, encoding,5,6,0,38,32, orange,10,2,5, ,0,0,4.146407, touch,0, NO,2,0, NO,2,0,0,0,932.591512,971.370584,974.08965,978.241421, , , , , , , , , 
SC, encoding,5,7,0,39,32, hen,6,1,2, ,0,0,2.607898, match,0, NO,2,0, NO,2,0,0,0,932.591512,979.527796,982.580052,985.193291, , , , , , , , , 
SC, encoding,5,8,0,40,32, hat,7,2,8, ,0,0,5.306017, bounce,0, NO,2,0, NO,2,0,0,0,932.591512,986.445402,989.137798,994.449174, , , , , , , , , 
SC, retrieval,5,0,1,40,33, aubergine,3,1,7, beach,2,1,0, brush,3.148702, semantic_animated,1,0.926813, perceptual,1,0.543399,37,1, , , , ,1042.866261,1045.718367,1048.872284,1052.396076,1053.328309,1053.875512,1054.424223,1, 
SC, retrieval,5,0,2,40,34, kiwi,7,1,5, destroyed_living,11,4,0, twitch,1.653182, perceptual,1,5.11615, semantic_animated,1,0.667367,37,1, , , , ,1042.866261,1055.421701,1057.08015,1060.606593,1065.727986,1066.271319,1066.944029,1, 
SC, retrieval,5,0,3,40,35, spider,15,1,1, dirty_bathroom,12,4,0, agitate,1.676065, perceptual,1,0.488507, semantic_animated,1,0.640914,37,1, , , , ,1042.866261,1068.350596,1070.032048,1073.562135,1074.055869,1074.601689,1075.247868,1, 
SC, retrieval,5,0,4,40,36, canary,1,2,2, home_office,14,4,0, plant,1.468147, semantic_animated,1,1.029826, perceptual,1,0.553066,37,1, , , , ,1042.866261,1076.694391,1078.167875,1081.692678,1082.727802,1083.265469,1083.82379,1, 
SC, retrieval,5,0,5,40,37, hat,7,2,8, costarica,9,2,0, bounce,2.305447, perceptual,1,0.915395, semantic_animated,1,0.561158,37,1, , , , ,1042.866261,1084.824939,1087.135702,1090.662934,1091.583614,1092.129124,1092.69558,1, 
SC, retrieval,5,0,6,40,38, ant,1,1,1, new_york,17,2,0, hit,3.591211, perceptual,1,1.521605, semantic_animated,1,1.231648,37,1, , , , ,1042.866261,1094.155053,1097.751487,1101.272518,1102.799417,1103.338505,1104.576003,1, 
SC, retrieval,5,0,7,40,39, hen,6,1,2, desktop_house,10,4,0, match,1.594933, perceptual,1,1.319293, semantic_animated,1,1.621231,37,1, , , , ,1042.866261,1105.511159,1107.111442,1110.64277,1111.96729,1112.508759,1114.13526,1, 
SC, retrieval,5,0,8,40,40, orange,10,2,5, rice_terrace,24,1,0, touch,4.486166, semantic_animated,0,4.358014, perceptual,0,1.077097,37,1, , , , ,1042.866261,1115.06779,1119.559188,1123.091791,1127.455102,1127.996666,1129.079049,1, 
SC, encoding,6,1,0,41,40, eagle,4,1,2, ,0,0,4.339917, draw,0, NO,2,0, NO,2,0,0,0,1133.749142,1137.846599,1141.00561,1145.350846, , , , , , , , , 
SC, encoding,6,2,0,42,40, camera,2,1,6, ,0,0,4.281559, smash,0, NO,2,0, NO,2,0,0,0,1133.749142,1146.870323,1149.775869,1154.062636, , , , , , , , , 
SC, encoding,6,3,0,43,40, fly,8,2,1, ,0,0,5.60951, pump,0, NO,2,0, NO,2,0,0,0,1133.749142,1155.467323,1158.199707,1163.814498, , , , , , , , , 
SC, encoding,6,4,0,44,40, shark,13,1,4, ,0,0,0, merge,0, NO,2,0, NO,2,0,0,0,1133.749142,1165.370583,1167.903028,1163.814498, , , , , , , , , 
SC, encoding,6,5,0,45,40, onions,12,1,7, ,0,0,2.32809, fall,0, NO,2,0, NO,2,0,0,0,1133.749142,1175.580405,1178.152856,1180.486237, , , , , , , , , 
SC, encoding,6,6,0,46,40, calculator,1,2,6, ,0,0,2.301136, drop,0, NO,2,0, NO,2,0,0,0,1133.749142,1182.111507,1185.203754,1187.510123, , , , , , , , , 
SC, encoding,6,7,0,47,40, rabbit,12,2,3, ,0,0,1.999989, glide,0, NO,2,0, NO,2,0,0,0,1133.749142,1188.376014,1191.46827,1193.468282, , , , , , , , , 
SC, encoding,6,8,0,48,40, kangaroo,10,2,3, ,0,0,6.729192, wipe,0, NO,2,0, NO,2,0,0,0,1133.749142,1194.880444,1197.919395,1204.653867, , , , , , , , , 
SC, retrieval,6,0,1,48,41, camera,2,1,6, vienna,31,2,0, smash,6.574718, semantic_animated,3,3.247403, perceptual,3,0.824779,34,0.970588, , , , ,1253.207942,1255.392975,1261.973029,1265.496181,1268.748947,1269.294776,1270.124879,1, 
